command	flag	empty_exit	omitted_exit	set_exit	refused_by	vs_omitted	vs_set	seconds	gave_up	message
assert pullrequest gitlab	--gitlab-org	1	1	1	cli	differs	differs	0.1		Error: [kosli assert pullrequest gitlab] flag '--gitlab-org' is required, but empty string was provided
assert pullrequest gitlab	--gitlab-token	1	1	1	cli	differs	differs	0.1		Error: [kosli assert pullrequest gitlab] flag '--gitlab-token' is required, but empty string was provided
assert pullrequest gitlab	--repository	1	1	1	cli	same	same	0.1		Error: [kosli assert pullrequest gitlab] failed to list merge requests for commit 96744b69f9d1a4032e531ce4cf13554cbf3a1368: 404 Not Found
assert snapshot	--dry-run	1	1	0	cli	differs	differs	0.2		Error: flag '--dry-run' was given an empty value
attach-policy	--dry-run	1	0	0	cli	differs	differs	0.2		Error: flag '--dry-run' was given an empty value
attach-policy	--environment	0	1	0		differs	differs	0.2		policy 'probe-attach-policy-environment-po' is attached to environments: []
attest artifact	--annotate	1	0	1	cli	differs	differs	0.3		Error: [kosli attest artifact flow=probe-attest-artifact-annotate-fl trail=probe-attest-artifact-annotate-tr] invalid argument "" for "--annotate" flag:  must b
attest artifact	--artifact-type	0	0	0		same	differs	0.3		artifact cmd/kosli/testdata/person-schema.json was attested with fingerprint: 7509e5bda0c762d2bac7f90d758b5b2263fa01ccbc542ab5e3df163be08e6ca9
attest artifact	--build-url	1	0	0	downstream	differs	differs	0.4		Error: [kosli attest artifact flow=probe-attest-artifact-build-url-fl trail=probe-attest-artifact-build-url-tr] Input payload validation failed: map[build_url:I
attest artifact	--commit	1	0	0	cli	differs	differs	0.3		Error: [kosli attest artifact flow=probe-attest-artifact-commit-fl trail=probe-attest-artifact-commit-tr] failed to resolve git reference : reference not found
attest artifact	--commit-url	1	0	0	downstream	differs	differs	0.4		Error: [kosli attest artifact flow=probe-attest-artifact-commit-url-fl trail=probe-attest-artifact-commit-url-tr] Input payload validation failed: map[commit_ur
attest artifact	--display-name	0	0	0		same	differs	0.3		artifact cmd/kosli/testdata/person-schema.json was attested with fingerprint: 7509e5bda0c762d2bac7f90d758b5b2263fa01ccbc542ab5e3df163be08e6ca9
attest artifact	--dry-run	1	0	0	cli	differs	differs	0.3		Error: flag '--dry-run' was given an empty value
attest artifact	--exclude	0	0	0		same	same	0.4		artifact cmd/kosli/testdata/person-schema.json was attested with fingerprint: 7509e5bda0c762d2bac7f90d758b5b2263fa01ccbc542ab5e3df163be08e6ca9
attest artifact	--external-fingerprint	1	0	1	cli	differs	differs	0.3		Error: [kosli attest artifact flow=probe-attest-artifact-external-fingerprint-fl trail=probe-attest-artifact-external-fingerprint-tr] invalid argument "" for "-
attest artifact	--external-url	1	0	1	cli	differs	differs	0.3		Error: [kosli attest artifact flow=probe-attest-artifact-external-url-fl trail=probe-attest-artifact-external-url-tr] invalid argument "" for "--external-url" f
attest artifact	--fingerprint	1	1	0	cli	same	differs	0.3		Error: [kosli attest artifact flow=probe-attest-artifact-fingerprint-fl trail=probe-attest-artifact-fingerprint-tr] either --artifact-type or --fingerprint must
attest artifact	--flow	1	1	0	cli	differs	differs	0.3		Error: [kosli attest artifact trail=probe-attest-artifact-flow-tr] flag '--flow' is required, but empty string was provided
attest artifact	--name	1	1	0	cli	differs	differs	0.3		Error: [kosli attest artifact flow=probe-attest-artifact-name-fl trail=probe-attest-artifact-name-tr] flag '--name' is required, but empty string was provided
attest artifact	--redact-commit-info	0	0	1		same	differs	0.3		artifact cmd/kosli/testdata/person-schema.json was attested with fingerprint: 7509e5bda0c762d2bac7f90d758b5b2263fa01ccbc542ab5e3df163be08e6ca9
attest artifact	--registry-password	0	0	1		same	differs	0.3		artifact cmd/kosli/testdata/person-schema.json was attested with fingerprint: 7509e5bda0c762d2bac7f90d758b5b2263fa01ccbc542ab5e3df163be08e6ca9
attest artifact	--registry-provider	0	0	0		differs	same	0.3		Flag --registry-provider has been deprecated, no longer used
attest artifact	--registry-username	0	0	1		same	differs	0.3		artifact cmd/kosli/testdata/person-schema.json was attested with fingerprint: 7509e5bda0c762d2bac7f90d758b5b2263fa01ccbc542ab5e3df163be08e6ca9
attest artifact	--repo-id	0	0	0		same	differs	0.4		artifact cmd/kosli/testdata/person-schema.json was attested with fingerprint: 7509e5bda0c762d2bac7f90d758b5b2263fa01ccbc542ab5e3df163be08e6ca9
attest artifact	--repo-provider	0	0	1		same	differs	0.3		artifact cmd/kosli/testdata/person-schema.json was attested with fingerprint: 7509e5bda0c762d2bac7f90d758b5b2263fa01ccbc542ab5e3df163be08e6ca9
attest artifact	--repo-root	0	0	0		same	same	0.3		artifact cmd/kosli/testdata/person-schema.json was attested with fingerprint: 7509e5bda0c762d2bac7f90d758b5b2263fa01ccbc542ab5e3df163be08e6ca9
attest artifact	--repo-url	0	0	1		same	differs	0.4		artifact cmd/kosli/testdata/person-schema.json was attested with fingerprint: 7509e5bda0c762d2bac7f90d758b5b2263fa01ccbc542ab5e3df163be08e6ca9
attest artifact	--repository	0	0	0		same	same	0.3		artifact cmd/kosli/testdata/person-schema.json was attested with fingerprint: 7509e5bda0c762d2bac7f90d758b5b2263fa01ccbc542ab5e3df163be08e6ca9
attest artifact	--trail	1	1	0	cli	differs	differs	0.3		Error: [kosli attest artifact flow=probe-attest-artifact-trail-fl] flag '--trail' is required, but empty string was provided
attest custom	--annotate	1	0	1	cli	differs	differs	0.4		Error: [kosli attest custom flow=probe-attest-custom-annotate-fl trail=probe-attest-custom-annotate-tr] invalid argument "" for "--annotate" flag:  must be form
attest custom	--artifact-type	0	0	1		same	differs	0.4		custom:probe-attest-custom-artifact-type-nm attestation 'probe-attest-custom-artifact-type-nm' is reported to trail: probe-attest-custom-artifact-type-tr
attest custom	--attachments	1	0	1	cli	differs	differs	0.4		Error: [kosli attest custom flow=probe-attest-custom-attachments-fl trail=probe-attest-custom-attachments-tr] invalid argument "" for "--attachments" flag: empt
attest custom	--attestation-data	1	1	0	cli	differs	differs	0.4		Error: [kosli attest custom flow=probe-attest-custom-attestation-data-fl trail=probe-attest-custom-attestation-data-tr] flag '--attestation-data' is required, b
attest custom	--commit	0	0	0		differs	differs	0.4		custom:probe-attest-custom-commit-nm attestation 'probe-attest-custom-commit-nm' is reported to trail: probe-attest-custom-commit-tr
attest custom	--description	0	0	0		same	same	0.4		custom:probe-attest-custom-description-nm attestation 'probe-attest-custom-description-nm' is reported to trail: probe-attest-custom-description-tr
attest custom	--dry-run	1	0	0	cli	differs	differs	0.4		Error: flag '--dry-run' was given an empty value
attest custom	--exclude	0	0	0		same	same	0.4		custom:probe-attest-custom-exclude-nm attestation 'probe-attest-custom-exclude-nm' is reported to trail: probe-attest-custom-exclude-tr
