command	flag	method	url	field	control	emptied	verdict	answer
attest decision	--fingerprint	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-decision-fingerprint-set-fl/trail/probe-attest-decision-fingerprint-set-tr/system	artifact_fingerprint	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest decision	--flow	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-decision-flow-set-fl/trail/probe-attest-decision-flow-set-tr/system				no field	the flag changes no field of the payload
attest decision	--name	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-decision-name-set-fl/trail/probe-attest-decision-name-set-tr/system				no field	the flag changes no field of the payload
attest decision	--origin-url	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-decision-origin-url-set-fl/trail/probe-attest-decision-origin-url-set-tr/system	origin_url	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest decision	--redact-commit-info						nothing to read	the run with the flag set sent no request
attest decision	--registry-password						nothing to read	the run with the flag set sent no request
attest decision	--registry-provider	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-decision-registry-provider-set-fl/trail/probe-attest-decision-registry-provider-set-tr/system				no field	the flag changes no field of the payload
attest decision	--registry-username						nothing to read	the run with the flag set sent no request
attest decision	--repo-id	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-decision-repo-id-set-fl/trail/probe-attest-decision-repo-id-set-tr/system				no field	the flag changes no field of the payload
attest decision	--repo-provider						nothing to read	the run with the flag set sent no request
attest decision	--repo-root	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-decision-repo-root-set-fl/trail/probe-attest-decision-repo-root-set-tr/system				no field	the flag changes no field of the payload
attest decision	--repo-url						nothing to read	the run with the flag set sent no request
attest decision	--repository	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-decision-repository-set-fl/trail/probe-attest-decision-repository-set-tr/system				no field	the flag changes no field of the payload
attest decision	--trail	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-decision-trail-set-fl/trail/probe-attest-decision-trail-set-tr/system				no field	the flag changes no field of the payload
attest decision	--user-data	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-decision-user-data-set-fl/trail/probe-attest-decision-user-data-set-tr/system	user_data	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest generic	--annotate						nothing to read	the run with the flag set sent no request
attest generic	--artifact-type						nothing to read	the run with the flag set sent no request
attest generic	--attachments						nothing to read	the run with the flag set sent no request
attest generic	--commit	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-generic-commit-set-fl/trail/probe-attest-generic-commit-set-tr/generic	git_commit_info	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest generic	--compliant	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-generic-compliant-set-fl/trail/probe-attest-generic-compliant-set-tr/generic				no field	the flag changes no field of the payload
attest generic	--description	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-generic-description-set-fl/trail/probe-attest-generic-description-set-tr/generic	description	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest generic	--dry-run						nothing to read	the run with the flag set sent no request
attest generic	--exclude	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-generic-exclude-set-fl/trail/probe-attest-generic-exclude-set-tr/generic				no field	the flag changes no field of the payload
attest generic	--external-fingerprint						nothing to read	the run with the flag set sent no request
attest generic	--external-url						nothing to read	the run with the flag set sent no request
attest generic	--fingerprint	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-generic-fingerprint-set-fl/trail/probe-attest-generic-fingerprint-set-tr/generic	artifact_fingerprint	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest generic	--flow	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-generic-flow-set-fl/trail/probe-attest-generic-flow-set-tr/generic				no field	the flag changes no field of the payload
attest generic	--name	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-generic-name-set-fl/trail/probe-attest-generic-name-set-tr/generic				no field	the flag changes no field of the payload
attest generic	--origin-url	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-generic-origin-url-set-fl/trail/probe-attest-generic-origin-url-set-tr/generic	origin_url	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest generic	--redact-commit-info						nothing to read	the run with the flag set sent no request
attest generic	--registry-password						nothing to read	the run with the flag set sent no request
attest generic	--registry-provider	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-generic-registry-provider-set-fl/trail/probe-attest-generic-registry-provider-set-tr/generic				no field	the flag changes no field of the payload
attest generic	--registry-username						nothing to read	the run with the flag set sent no request
attest generic	--repo-id	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-generic-repo-id-set-fl/trail/probe-attest-generic-repo-id-set-tr/generic				no field	the flag changes no field of the payload
attest generic	--repo-provider						nothing to read	the run with the flag set sent no request
attest generic	--repo-root	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-generic-repo-root-set-fl/trail/probe-attest-generic-repo-root-set-tr/generic				no field	the flag changes no field of the payload
attest generic	--repo-url						nothing to read	the run with the flag set sent no request
attest generic	--repository	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-generic-repository-set-fl/trail/probe-attest-generic-repository-set-tr/generic				no field	the flag changes no field of the payload
attest generic	--trail	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-generic-trail-set-fl/trail/probe-attest-generic-trail-set-tr/generic				no field	the flag changes no field of the payload
attest generic	--user-data	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-generic-user-data-set-fl/trail/probe-attest-generic-user-data-set-tr/generic	user_data	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest junit	--annotate						nothing to read	the run with the flag set sent no request
attest junit	--artifact-type						nothing to read	the run with the flag set sent no request
attest junit	--attachments						nothing to read	the run with the flag set sent no request
attest junit	--commit	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-junit-commit-set-fl/trail/probe-attest-junit-commit-set-tr/junit	git_commit_info	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest junit	--description	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-junit-description-set-fl/trail/probe-attest-junit-description-set-tr/junit	description	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest junit	--dry-run						nothing to read	the run with the flag set sent no request
attest junit	--exclude	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-junit-exclude-set-fl/trail/probe-attest-junit-exclude-set-tr/junit				no field	the flag changes no field of the payload
attest junit	--external-fingerprint						nothing to read	the run with the flag set sent no request
attest junit	--external-url						nothing to read	the run with the flag set sent no request
attest junit	--fingerprint	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-junit-fingerprint-set-fl/trail/probe-attest-junit-fingerprint-set-tr/junit	artifact_fingerprint	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest junit	--flow	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-junit-flow-set-fl/trail/probe-attest-junit-flow-set-tr/junit				no field	the flag changes no field of the payload
attest junit	--name	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-junit-name-set-fl/trail/probe-attest-junit-name-set-tr/junit				no field	the flag changes no field of the payload
attest junit	--origin-url	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-junit-origin-url-set-fl/trail/probe-attest-junit-origin-url-set-tr/junit	origin_url	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest junit	--redact-commit-info						nothing to read	the run with the flag set sent no request
attest junit	--registry-password						nothing to read	the run with the flag set sent no request
attest junit	--registry-provider	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-junit-registry-provider-set-fl/trail/probe-attest-junit-registry-provider-set-tr/junit				no field	the flag changes no field of the payload
attest junit	--registry-username						nothing to read	the run with the flag set sent no request
attest junit	--repo-id	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-junit-repo-id-set-fl/trail/probe-attest-junit-repo-id-set-tr/junit				no field	the flag changes no field of the payload
attest junit	--repo-provider						nothing to read	the run with the flag set sent no request
attest junit	--repo-root	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-junit-repo-root-set-fl/trail/probe-attest-junit-repo-root-set-tr/junit				no field	the flag changes no field of the payload
attest junit	--repo-url						nothing to read	the run with the flag set sent no request
attest junit	--repository	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-junit-repository-set-fl/trail/probe-attest-junit-repository-set-tr/junit				no field	the flag changes no field of the payload
attest junit	--results-dir	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-junit-results-dir-set-fl/trail/probe-attest-junit-results-dir-set-tr/junit				no field	the flag changes no field of the payload
attest junit	--trail	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-junit-trail-set-fl/trail/probe-attest-junit-trail-set-tr/junit				no field	the flag changes no field of the payload
attest junit	--upload-results	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-junit-upload-results-set-fl/trail/probe-attest-junit-upload-results-set-tr/junit				no field	the flag changes no field of the payload
attest junit	--user-data	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-junit-user-data-set-fl/trail/probe-attest-junit-user-data-set-tr/junit	user_data	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
attest override	--annotate						nothing to read	the run with the flag set sent no request
attest override	--artifact-type						nothing to read	the run with the flag set sent no request
attest override	--attachments	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-attachments-set-fl/trail/probe-attest-override-attachments-set-tr/override				no field	the flag changes no field of the payload
attest override	--commit	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-commit-set-fl/trail/probe-attest-override-commit-set-tr/override	git_commit_info	500	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"git_commit_info":"Input should be a valid dictionary or object t
attest override	--description	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-description-set-fl/trail/probe-attest-override-description-set-tr/override	description	200	200	the server accepts it	"OK"
attest override	--dry-run						nothing to read	the run with the flag set sent no request
attest override	--exclude	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-exclude-set-fl/trail/probe-attest-override-exclude-set-tr/override				no field	the flag changes no field of the payload
attest override	--external-fingerprint						nothing to read	the run with the flag set sent no request
attest override	--external-url						nothing to read	the run with the flag set sent no request
attest override	--fingerprint	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-fingerprint-set-fl/trail/probe-attest-override-fingerprint-set-tr/override	artifact_fingerprint	404	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"artifact_fingerprint":"String should match pattern '^[a-f0-9]{64
attest override	--flow	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-flow-set-fl/trail/probe-attest-override-flow-set-tr/override				no field	the flag changes no field of the payload
attest override	--name	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-name-set-fl/trail/probe-attest-override-name-set-tr/override				no field	the flag changes no field of the payload
attest override	--new-compliance-status	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-new-compliance-status-set-fl/trail/probe-attest-override-new-compliance-status-set-tr/override				no field	the flag changes no field of the payload
attest override	--origin-url	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-origin-url-set-fl/trail/probe-attest-override-origin-url-set-tr/override	origin_url	200	400	the server refuses it	{"message":"Input payload validation failed","errors":{"origin_url":"Input should be a valid URL, input is empty [input:
attest override	--original-attestation-type	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-original-attestation-type-set-fl/trail/probe-attest-override-original-attestation-type-set-tr/override				no field	the flag changes no field of the payload
attest override	--reason	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-reason-set-fl/trail/probe-attest-override-reason-set-tr/override				no field	the flag changes no field of the payload
attest override	--redact-commit-info						nothing to read	the run with the flag set sent no request
attest override	--registry-password						nothing to read	the run with the flag set sent no request
attest override	--registry-provider	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-registry-provider-set-fl/trail/probe-attest-override-registry-provider-set-tr/override				no field	the flag changes no field of the payload
attest override	--registry-username						nothing to read	the run with the flag set sent no request
attest override	--repo-id	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-repo-id-set-fl/trail/probe-attest-override-repo-id-set-tr/override				no field	the flag changes no field of the payload
attest override	--repo-provider						nothing to read	the run with the flag set sent no request
attest override	--repo-root	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-repo-root-set-fl/trail/probe-attest-override-repo-root-set-tr/override				no field	the flag changes no field of the payload
attest override	--repo-url						nothing to read	the run with the flag set sent no request
attest override	--repository	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-repository-set-fl/trail/probe-attest-override-repository-set-tr/override				no field	the flag changes no field of the payload
attest override	--trail	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-trail-set-fl/trail/probe-attest-override-trail-set-tr/override				no field	the flag changes no field of the payload
attest override	--user-data	POST	http://localhost:8001/api/v2/attestations/docs-cmd-test-user-shared/probe-attest-override-user-data-set-fl/trail/probe-attest-override-user-data-set-tr/override	user_data	200	400	the server refuses it	{"message":"Input payload validation failed","errors":{"user_data.dict[any,any]":"Input should be a valid dictionary [in
begin trail	--commit	PUT	http://localhost:8001/api/v2/trails/docs-cmd-test-user-shared/probe-begin-trail-commit-set-fl	git_commit_info	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
begin trail	--description	PUT	http://localhost:8001/api/v2/trails/docs-cmd-test-user-shared/probe-begin-trail-description-set-fl	description	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
begin trail	--dry-run						nothing to read	the run with the flag set sent no request
begin trail	--external-fingerprint						nothing to read	the run with the flag set sent no request
begin trail	--external-url						nothing to read	the run with the flag set sent no request
begin trail	--flow	PUT	http://localhost:8001/api/v2/trails/docs-cmd-test-user-shared/probe-begin-trail-flow-set-fl				no field	the flag changes no field of the payload
begin trail	--origin-url	PUT	http://localhost:8001/api/v2/trails/docs-cmd-test-user-shared/probe-begin-trail-origin-url-set-fl	origin_url	400	400	unusable, the control failed	{"message":"Input payload validation failed","errors":{"data_json":"Field required [input: None]"}}
begin trail	--redact-commit-info						nothing to read	the run with the flag set sent no request
begin trail	--repo-id	PUT	http://localhost:8001/api/v2/trails/docs-cmd-test-user-shared/probe-begin-trail-repo-id-set-fl				no field	the flag changes no field of the payload
begin trail	--repo-provider						nothing to read	the run with the flag set sent no request
begin trail	--repo-root	PUT	http://localhost:8001/api/v2/trails/docs-cmd-test-user-shared/probe-begin-trail-repo-root-set-fl				no field	the flag changes no field of the payload
begin trail	--repo-url						nothing to read	the run with the flag set sent no request
